doc_id	text	label
1r2bguu	Alert flooding due to share.google tagged as malicious	cybersecurity
1r2ay7q	Security Researcher - How strong do my Python skills need to be? And where should I focus next?	cybersecurity
1r2a5na	Masters Pogram: UC Berkley or SANS Institute	cybersecurity
1r29fue	Best Tools for Internal Phishing Simulations	cybersecurity
1r28i13	Securing 5 On-Prem VMs with Azure Arc + Defender for Servers (Plan 2) - Best Approach?	cybersecurity
1r28avj	For teams deploying AI agents with tool use in production - what operations do you gate behind human approval?	cybersecurity
1r289lj	I built an agentic MCP server that automates the web app pentesting	cybersecurity
1r27swd	SSAS Security Baselines	cybersecurity
1r27ra5	Digital asset theft hit $3.4B in 2025 — our new research shows weak policy engines, not perimeter breaches, are driving most losses	cybersecurity
1r27ng4	Hackers breach SmarterTools network using flaw in its own software	cybersecurity
1r26yiq	How are you enabling safe, practical AI use in software engineering today?	cybersecurity
1r25056	Cyber Security Certs Advise	cybersecurity
1r24set	Notepad's new Markdown powers served with a side of RCE	cybersecurity
1r24per	15% of OpenClaw skills contain malicious instructions - the npm/PyPI pattern is repeating itself in AI agent ecosystems	cybersecurity
1r24m0n	Vulnerability forecast 2026: The Year Ahead	cybersecurity
1r249gv	Exploitations during Penetration Testing for Documentation	cybersecurity
1r242fl	Anyone have this insanely huge urge to get into the industry.	cybersecurity
1r23yzs	LummaStealer infections surge after CastleLoader malware campaigns	cybersecurity
1r23bk1	[Showcase] PassForge v1.2.0 - Extreme 1024-Char Limits, 64-Word Passphrases, and 100% PWA Sync	cybersecurity
1r21w44	CVE-2026-20841: Windows Notepad Remote Code Execution Vulnerability	cybersecurity
1r21sv4	We analyzed 57,898 exposed assets across 1,722 European retail companies. 19% have invalid SSL certificates and the results show retail is "horribly unprepared" for modern cyber threats	cybersecurity
1r20xv2	Detection/Security Engineering and AI	cybersecurity
1r1zbg5	Negative lookups for log files	cybersecurity
1r1yon9	Threat Hunting Training or Certs?	cybersecurity
1r1yhoq	Phishing Test False Positives	cybersecurity
1r1xzdj	Offensive security feels large	cybersecurity
1r1xvu5	Cyber Security Certifications	cybersecurity
1r1xe13	How secure is open source really?	cybersecurity
1r1wo1b	Palo Alto Networks Completes Acquisition of CyberArk to Secure the AI Era	cybersecurity
1r1vmbd	Signature Phishing up 200%	cybersecurity
1r1uywv	Air-Gapped Network + NAC?	cybersecurity
1r1uvhh	Nation-State Spyware Is Now Sold on Telegram for Anyone to Buy	cybersecurity
1r1uu1s	Malicious 7-Zip site distributes installer laced with proxy tool	cybersecurity
1r1uqfh	Quesma tested AI on backdoored binaries and Claude Opus found 49%	cybersecurity
1r1sdug	Coupang breach, what "management failure" looks like in auth systems	cybersecurity
1r1s4oc	Ransomware Gang Data - Now Doubly Enriched	cybersecurity
1r1r7wi	seqra/seqra: Security-focused static analyzer for Java and Kotlin web applications	cybersecurity
1r1qu9s	I got tired of maintaining 50+ janky Python scripts for security automation, so I built a visual engine to replace them (Open Source)	cybersecurity
1r1psut	10 Years as a Tech PM : How do I pivot to Cyber without knowing to code or doing a bootcamp?	cybersecurity
1r1pqdk	Is Network and Information Security basically cybersecurity or not?	cybersecurity
1r1p2ij	Joint probe finds 33.67mn accounts affected in Coupang data breach - 매일경제 영문뉴스 펄스(Pulse)	cybersecurity
1r1orr2	Article Posting on EBR	cybersecurity
1r1oqpu	Where is AI actually making a real difference in cybersecurity operations today?	cybersecurity
1r1oi54	How concerned should we be about Discord's new age verification.	cybersecurity
1r1nkzy	Roles in CyberSecurity Awareness and Education?	cybersecurity
1r3hv1r	QR Code Phishing (Quishing) – recent cases and defense considerations	cybersecurity
1r3h4ko	Ivanti EPMM Zero-Day Bugs Spark Exploit Frenzy - Again	cybersecurity
1r3bclw	how far are we from deepfakes being as common as email phishing?	cybersecurity
1r3a5g0	Exploiting Reversing (ER) series: article 06 | A Deep Dive Into Exploiting a Minifilter Driver (N-day)	cybersecurity
1r38ati	MSP and cyber security in Houston	cybersecurity
1r37gl5	AI in cybersecurity is mostly turd polishing - Fight me	cybersecurity
1r37bir	Secure way to manage endpoint admin accounts without PAM?	cybersecurity
1r3410l	Apple patches decade-old iOS zero-day exploited in the wild	cybersecurity
1r340l8	Theoretical training during sabbatical	cybersecurity
1r33zy1	Senegalese Data Breaches Expose Lack of 'Security Maturity'	cybersecurity
1r33tpb	SIEM Maturity Framework - aiding signal vs noise	cybersecurity
1r33pse	State-Backed Hackers Weaponize Google Gemini Across Cyberattack Lifecycles	cybersecurity
1r33nan	Is MFA for On-Prem Servers Necessary in a Tiered AD environment	cybersecurity
1r33ku0	Cyber Security Gap Analysis Tools / Templates	cybersecurity
1r33h3u	A Linguistic Prompt Injection Case Study on Llama 4: Procedural Leakage and Security Contradictions in Large Language Models	cybersecurity
1r31g0d	Frigate - CVE-2026-25643 - Authenticated Remote Command Execution (RCE) and Container Escape	cybersecurity
1r31eme	fireflies.ai note taking app housing biometrics and voice prints.	cybersecurity
1r30wme	ClawHub skills are the new npm/PyPI malware vector - 15% malicious rate found	cybersecurity
1r30hqn	What New York Cyber Security Events are worth going to?	cybersecurity
1r2z9ce	Thoughts on Zirbel Security Process Framework	cybersecurity
1r2ye7r	What security controls actually work for GenAI apps, and what fails in production?	cybersecurity
1r2y0f2	is android code security review lucrative like web ?	cybersecurity
1r2xx2a	Client asking for very detailed security audit	cybersecurity
1r2xehy	Should I take the certificate	cybersecurity
1r2x638	Is it worth getting sec+ cert as a high school senior	cybersecurity
1r2wg8f	Need Help Finding Potential Leaked Company Data	cybersecurity
1r2utjw	Pen Tests on Sunsetting Technology	cybersecurity
1r2tguo	How to retrieve detailed Microsoft DLP incident data via API?	cybersecurity
1r2tgew	Which role helps you learn nore in cybersecurity: SOC Analyst or Pentester?	cybersecurity
1r2s34o	stop corporate devices from accessing personal Hotspot.	cybersecurity
1r2s0rj	Does the “Passwordless → Change Password → Passwordless” cycle guarantee session revocation?	cybersecurity
1r2ritl	New Flair Available: "AI Security"	cybersecurity
1r2qv3c	Need some advice on final year project for college	cybersecurity
1r2qt18	Discord’s Age Verification Defeated By a 3D Avatar You Control With a Game Controller	cybersecurity
1r2q2c4	Cybersecurity final year project ideas	cybersecurity
1r2q22f	CISA Certification: $800 Exam for an Outdated Auditing Cert or Actually Worth It for Cybersecurity Careers?	cybersecurity
1r2puj1	How not to get pigeonholed into a regular dev role?	cybersecurity
1r2pa3g	Over 5K people signed up for my AI and quantum talk	cybersecurity
1r2p8hs	TrustOS the fully auditable OS	cybersecurity
1r2ovqb	AI vulnerability Agents are currently all noise and no signal. Am I expecting too much, or is the tech just not ready for prime time yet?	cybersecurity
1r2or4n	East Midlands CyberSummit	cybersecurity
1r2ofks	OSCP + GovConsulting Background → Relocating to UK for Cybersecurity Work	cybersecurity
1r2ocrc	10 Years Pentesting → VP IT Risk Manager. What should I realistically expect?	cybersecurity
1r2o3dy	Dyscalculia + Cybersecurity	cybersecurity
1r2nzmp	Training in Deepfake Detection	cybersecurity
1r2nsuc	Deepfake Detection and Mitigation in Cybersecurity	cybersecurity
1r2myr3	Researchers Warn: WiFi Could Become an Invisible Mass Surveillance System	cybersecurity
